상품ID,상품명,노출수,클릭수,클릭율,CPC적용수수료,CPC클릭당수수료
20250901_LSR_PHUQU_MKLKSH_0020,푸꾸옥 동남아 여행 직항 야시장 리조트 자유 관광지,73,1,1.36986301369863,53,53.0
20250829_KTM__ZHANG_CMK_0004,장가계 추석연휴 항공권 중국 여행 원가계 패키지 힐링,1,0,0.0,0,0.0
20250901_LSR_HANOI_MKR_0002,하노이 동남아 리조트 해외 베트남 기차거리 패키지,1,0,0.0,0,0.0
20250829_CS_VC_DMK_0009,밴프 밴쿠버 10월 7일 여행 캐나다 패키지 국적기 아시아나항공,2,0,0.0,0,0.0
20250829_LSR_BANGK_MNMW_0005,방콕 추석연휴 날씨 패키지 11월 태국 직항 해외 가을,1,0,0.0,0,0.0
20250901_LSR_KOTAKI_MMK_0013,코타키나발루 날씨 여행 직항 일정 해외 패키지 동남아,1,0,0.0,0,0.0
20250829_LSR_BANGK_MSLT_0003,방콕 직항 태국 왓프라깨우 해외 여행 왕궁 날씨,2,0,0.0,0,0.0
20250829_CS_SA3C_MKL_0003,중미 멕시코 쿠바 칸쿤 리비에라마야 패키지 여행 메트로폴리타나대성당,1,0,0.0,0,0.0
20250902_LSR_FUKYO_MKLKLO_0005,후쿠오카 에어텔 여행 날씨 교토 온천 직항 나라 리조트 일본여행,2,0,0.0,0,0.0
20250829_LDW_SYDNEY_DMK_0043,1월 호주 시드니 6박7일 패키지 가족 여행 투어,1,0,0.0,0,0.0
20250829_KTM__SPAINPORTU_CMK_0015,스페인 포르투갈 직항 관광 항공권 남유럽 일주 여행,1,0,0.0,0,0.0
20250829_LDW_SYDNEY_DMK_0019,11월 호주 패키지 6박7일 시드니 여행 투어 가족,4,0,0.0,0,0.0
20250902_LSR_BEPP_DMKRT_0011,12월 온천 일본여행 벳부 리조트 항공권 유후인 해외,1,0,0.0,0,0.0
20250829_LDW_SYDNEY_SNM_0015,시드니 추석 여행 패키지 4박6일 여행사 호주,1,0,0.0,0,0.0
20250829_LDW_SYDNEY_CMK_0009,호주 6박7일 투어 여행 가족 시드니 패키지,1,0,0.0,0,0.0
20250829_LDW_SYDNEY_CMK_0018,호주 투어 6박7일 가족 여행 시드니 패키지,1,0,0.0,0,0.0
20250829_CS_SF_SNK_0006,샌프란시스코여행 라스베가스여행 미국서부여행 미주여행 그랜드캐년 투어 아시아나항공,2,0,0.0,0,0.0
20250829_CS_SA3C_OT_0009,쿠바 멕시코시티 칸쿤 팩키지 인천출발 노팁 호텔존,1,0,0.0,0,0.0
